CaseNumber,Initial_Response_SLA_Violated__c
02042979,False
02043000,False
02043003,False
02043004,False
02043006,False
02043014,True
02043017,False
02043019,False
02043023,False
02043029,False
02043030,False
02043031,False
02043047,False
02043059,False
02043065,False
02043070,False
02043079,False
02043087,False
02043089,False
02043108,False
02043127,False
02043129,False
02043130,False
02043150,False
02043167,False
02043169,False
02043215,True
02043218,False
02043244,False
02043252,False
02043255,False
02043270,False
02043275,False
02043276,False
02043305,False
02043315,False
02043319,False
02043321,True
02043326,False
02043328,False
02043330,False
02043338,False
02043342,False
02043347,False
02043349,False
02043364,False
02043386,False
02043394,False
02043395,False
02043414,False
02043443,False
02043461,False
02043464,False
02043476,False
02043478,False
02043514,False
02043540,False
02043565,False
02043568,False
02043578,False
02043582,False
02043583,False
02043600,False
02043602,True
02043617,False
02043619,False
02043631,False
02043641,False
02043645,False
02043647,False
02043649,False
02043657,False
02043667,False
02043671,False
02043674,False
02043678,False
02043680,False
02043684,False
02043685,False
02043698,False
02043702,False
02043710,False
02043713,False
02043714,False
02043740,False
02043741,False
02043748,False
02043752,False
02043757,False
02043782,False
02043790,False
02043800,False
02043820,True
02043836,False
02043840,False
02043846,False
02043850,False
02043869,False
02043879,False
02043895,False
02043897,False
02043898,False
02043905,False
02043908,False
02043909,False
02043915,False
02043933,False
02043966,False
02043970,False
02043971,False
02043972,False
02043983,False
02043987,False
02043992,False
02043993,False
02044002,False
02044006,False
02044015,False
02044018,True
02044020,False
02044037,False
02044040,False
02044043,False
02044044,False
02044048,False
02044054,False
02044058,False
02044067,False
02044072,False
02044084,False
02044094,False
02044115,False
02044119,False
02044122,False
02044125,False
02044128,False
02044130,False
02044134,False
02044139,False
02044160,True
02044171,False
02044174,False
02044175,False
02044182,False
02044192,False
02044210,False
02044217,False
02044222,False
02044223,False
02044237,False
02044240,False
02044245,False
02044246,False
02044247,False
02044249,False
02044251,False
02044252,False
02044256,False
02044259,False
02044265,False
02044282,False
02044288,False
02044289,False
02044305,False
02044307,False
02044308,False
02044311,False
02044312,False
02044315,False
02044323,False
02044327,False
02044328,False
02044344,False
02044347,False
02044348,False
02044352,False
02044353,False
02044355,False
02044356,False
02044363,False
02044367,True
02044370,False
02044372,False
02044379,False
02044383,False
02044397,False
02044410,False
02044478,False
02044491,False
02044513,False
02044526,False
02044530,False
02044531,False
02044538,False
02044549,False
02044550,False
02044552,False
02044554,False
02044555,False
02044565,True
02044569,True
02044578,False
02044585,False
02044586,False
02044590,False
02044591,False
02044592,False
02044593,False
02044595,True
02044596,True
02044598,False
02044599,False
02044601,False
02044604,False
02044617,False
02044632,False
02044636,False
02044637,False
02044642,False
02044646,False
02044647,False
02044649,False
02044655,False
02044657,False
02044659,False
02044660,False
02044664,False
02044668,False
02044674,False
02044675,False
02044676,True
02044691,False
02044699,False
02044700,False
02044702,False
02044703,False
02044704,False
02044706,False
02044713,False
02044715,False
02044723,False
02044724,False
02044725,False
02044729,False
02044731,False
02044741,True
02044745,False
02044750,False
02044751,False
02044755,False
02044766,False
02044772,False
02044776,False
02044783,False
02044786,False
02044790,False
02044791,False
02044793,False
02044799,False
02044805,False
02044807,False
02044812,False
02044836,False
02044840,False
02044843,False
02044851,False
02044859,False
02044861,False
02044862,False
02044868,False
02044873,False
02044878,False
02044881,False
02044885,False
02044903,False
02044918,False
02044919,False
02044920,False
02044922,False
02044929,False
02044930,False
02044932,False
02044935,False
02044939,True
02044943,False
02044945,False
02044950,False
02044952,False
02044966,False
02044968,False
02044973,False
02044976,False
02044983,False
02044991,False
02045005,False
02045013,True
02045017,True
02045049,False
02045067,False
02045089,False
02045104,False
02045125,True
02045167,False
02045169,False
02045171,False
02045175,False
02045184,False
02045196,False
02045208,False
02045233,False
02045261,False
02045262,False
02045288,False
02045292,False
02045300,False
02045304,False
02045305,True
02045313,False
02045316,False
02045330,False
02045332,False
02045337,False
02045338,False
02045343,False
02045345,False
02045351,False
02045352,False
02045353,False
02045356,False
02045367,False
02045371,False
02045372,False
02045385,False
02045395,False
02045413,False
02045477,False
02045485,False
02045501,False
02045519,False
02045526,False
02045533,False
02045536,False
02045539,False
02045544,False
02045548,False
02045552,False
02045555,False
02045556,False
02045557,False
02045569,False
02045572,False
02045574,False
02045575,False
02045577,False
02045582,False
02045595,False
02045620,False
02045625,False
02045635,False
02045638,False
02045639,False
02045643,False
02045648,False
02045653,False
02045656,False
02045657,False
02045674,False
02045677,False
02045679,False
02045682,False
02045684,False
02045691,False
02045694,False
02045698,False
02045705,False
02045706,False
02045707,False
02045711,False
02045740,False
02045741,False
02045742,False
02045776,False
02045788,False
02045802,False
02045837,False
02045848,False
02045852,False
02045860,False
02045864,False
02045869,False
02045873,False
02045877,True
02045881,False
02045884,False
02045889,False
02045892,False
02045895,False
02045901,False
02045903,False
02045905,False
02045912,False
02045914,False
02045921,False
02045935,False
02045941,False
02045945,False
02045946,False
02045947,False
02045950,False
02045951,False
02045955,False
02045956,False
02045961,False
02045977,False
02045980,False
02045982,False
02045988,False
02045990,False
02045999,False
02046015,False
02046017,False
02046021,False
02046023,False
02046025,False
02046034,False
02046039,False
02046057,False
02046091,False
02046107,False
02046136,False
02046185,False
02046186,False
02046189,False
02046206,False
02046207,False
02046210,False
02046217,False
02046227,False
02046232,False
02046250,False
02046259,False
02046261,False
02046263,False
02046283,False
02046285,False
02046286,False
02046292,False
02046302,False
02046304,False
02046305,False
02046318,False
02046322,False
02046323,False
02046328,False
02046343,False
02046344,False
02046349,False
02046357,False
02046363,False
02046377,False
02046395,False
02046403,False
02046416,False
02046418,False
02046441,False
02046447,False
02046458,False
02046460,False
02046468,False
02046470,False
02046472,False
02046475,False
02046486,False
02046509,False
02046510,False
02046516,False
02046527,False
02046534,False
02046542,False
02046546,True
02046547,False
02046568,False
02046570,False
02046576,False
02046581,False
02046587,False
02046590,False
02046608,False
02046609,False
02046610,False
02046613,False
02046618,False
02046620,False
02046621,False
02046624,False
02046628,False
02046633,False
02046636,False
02046637,False
02046639,False
02046643,False
02046644,False
02046645,False
02046662,True
02046664,False
02046665,False
02046672,False
02046705,False
02046710,False
02046724,False
02046734,False
02046754,False
02046765,False
02046769,False
02046790,False
02046799,False
02046804,False
02046823,False
02046830,False
02046835,False
02046836,False
02046848,False
02046861,False
02046864,False
02046865,False
02046867,False
02046871,False
02046872,False
02046873,False
02046876,False
02046878,False
02046883,False
02046884,False
02046886,False
02046894,False
02046900,False
02046912,False
02046915,False
02046920,False
02046925,False
02046927,False
02046943,False
02046946,False
02046951,False
02046953,False
02046956,False
02046960,False
02046961,False
02046964,False
02046965,False
02046972,False
02046974,False
02046975,False
02046977,False
02046980,False
02046982,False
02046986,False
02046987,False
02046991,False
02046996,False
02046997,False
02046998,False
02047006,False
02047028,False
02047063,False
02047076,False
02047077,False
02047099,False
02047122,False
02047124,False
02047128,False
02047131,False
02047142,False
02047144,False
02047157,False
02047160,False
02047173,False
02047181,False
02047185,False
02047204,False
02047206,False
02047215,False
02047216,False
02047217,False
02047221,False
02047226,False
02047235,False
02047239,False
02047247,False
02047250,False
02047255,False
02047271,False
02047272,False
02047273,False
02047274,False
02047276,False
02047285,False
02047291,False
02047296,False
02047304,False
02047307,False
02047308,False
02047311,False
02047312,False
02047313,False
02047319,False
02047321,False
02047334,False
02047337,False
02047347,False
02047363,False
02047402,False
02047403,False
02047409,False
02047421,False
02047467,False
02047469,False
02047480,False
02047483,False
02047491,False
02047500,False
02047510,False
02047511,False
02047517,False
02047524,False
02047527,False
02047546,False
02047549,False
02047553,False
02047559,False
02047564,False
02047577,False
02047580,False
02047581,False
02047595,False
02047596,False
02047602,False
02047608,False
02047611,False
02047612,False
02047622,False
02047631,False
02047638,False
02047639,False
02047681,False
02047689,False
02047733,False
02047747,False
02047762,False
02047764,False
02047783,False
02047794,False
02047799,False
02047825,False
02047834,False
02047839,False
02047842,False
02047848,False
02047849,False
02047853,False
02047854,False
02047867,False
02047870,False
02047884,False
02047886,False
02047887,False
02047912,False
02047916,False
02047918,False
02047923,False
02047925,True
02047929,False
02047931,False
02047932,False
02047937,False
02047949,False
02047960,True
02047967,False
02047969,True
02047970,True
02047971,False
02047972,False
02047973,False
02047979,False
02047987,False
02047990,False
02047992,False
02048013,False
02048024,False
02048032,False
02048035,False
02048053,False
02048061,False
02048069,False
02048076,False
02048083,False
02048108,False
02048109,False
02048121,False
02048125,False
02048136,False
02048140,False
02048152,False
02048157,True
02048158,False
02048163,False
02048169,True
02048170,False
02048171,True
02048175,False
02048183,False
02048190,False
02048196,False
02048198,False
02048201,False
02048205,False
02048208,False
02048210,False
02048213,False
02048214,False
02048216,False
02048226,False
02048228,False
02048231,False
02048263,False
02048289,False
02048324,False
02048351,False
02048357,False
02048373,False
02048374,False
02048415,False
02048441,False
02048445,False
02048467,False
02048469,False
02048475,False
02048487,False
02048498,False
02048514,False
02048518,False
02048523,False
02048609,False
02048614,False
02048621,False
02048626,False
02048642,False
02048643,False
02048656,False
02048659,False
02048661,False
02048662,False
02048674,False
02048684,False
02048687,False
02048693,False
02048700,True
02048710,False
02048731,False
02048732,False
02048750,False
02048755,False
02048758,False
02048761,False
02048770,False
02048793,False
02048801,False
02048815,False
02048844,False
02048852,False
02048858,False
02048859,False
02048864,False
02048865,False
02048872,False
02048874,True
02048888,True
02048899,False
02048900,False
02048901,False
02048905,False
02048909,False
02048931,False
02048954,False
02048970,False
02048973,False
02048974,False
02048976,False
02048980,False
02048987,False
02048989,False
02048990,False
02048998,False
02049005,False
02049008,False
02049011,False
02049013,False
02049015,False
02049031,False
02049043,False
02049057,False
02049061,False
02049063,False
02049066,False
02049068,False
02049077,False
02049080,False
02049088,False
02049161,False
02049162,False
02049169,False
02049208,True
02049214,False
02049236,False
02049240,False
02049254,False
02049256,False
02049259,False
02049264,False
02049265,False
02049269,False
02049275,False
02049286,False
02049287,False
02049292,False
02049296,False
02049306,False
02049312,False
02049314,False
02049320,False
02049329,False
02049331,False
02049335,False
02049337,True
02049339,False
02049342,False
02049348,False
02049352,False
02049354,False
02049360,False
02049361,False
02049362,False
02049366,False
02049386,False
02049387,False
02049391,False
02049392,False
02049398,False
02049407,False
02049426,False
02049431,False
02049443,False
02049448,False
02049454,False
02049465,False
02049473,False
02049478,False
02049485,False
02049494,False
02049498,False
02049504,False
02049505,False
02049514,False
02049526,False
02049534,False
02049541,False
02049549,False
02049550,False
02049552,False
02049553,False
02049556,False
02049557,False
02049561,False
02049567,False
02049569,False
02049573,False
02049576,False
02049578,False
02049588,False
02049589,False
02049600,False
02049605,False
02049606,False
02049621,False
02049626,True
02049628,True
02049632,False
02049634,False
02049636,False
02049637,False
02049650,False
02049667,False
02049676,False
02049681,False
02049704,False
02049734,False
02049741,False
02049745,False
02049759,False
02049776,False
02049782,False
02049789,False
02049796,False
02049798,False
02049812,False
02049825,False
02049837,False
02049838,False
02049850,False
02049851,True
02049856,False
02049861,False
02049867,False
02049870,False
02049871,False
02049876,False
02049880,False
02049883,False
02049899,False
02049906,False
02049923,False
02049924,False
02049927,False
02049928,False
02049930,False
02049937,False
02049939,False
02049944,False
02049953,False
02049959,False
02049963,False
02049971,False
02049972,False
02049973,False
02049978,False
02049979,False
02049982,False
02049984,False
02049998,False
02050025,False
02050036,False
02050042,False
02050044,False
02050056,False
02050064,False
02050105,False
02050120,False
02050132,False
02050135,False
02050144,False
02050146,False
02050156,False
02050166,False
02050173,False
02050176,False
02050178,False
02050189,False
02050191,False
02050203,False
02050204,False
02050207,False
02050212,False
02050229,False
02050234,False
02050236,False
02050240,False
02050244,False
02050245,False
02050248,False
02050260,False
02050261,False
02050263,False
02050265,False
02050266,False
02050281,False
02050284,False
02050285,False
02050286,False
02050289,False
02050292,False
02050295,False
02050298,False
02050299,True
02050300,False
02050301,False
02050304,False
02050305,False
02050313,False
02050315,False
02050334,False
02050335,False
02050345,False
02050355,False
02050356,False
02050392,False
02050404,False
02050407,False
02050414,False
02050425,False
02050430,False
02050431,False
02050444,False
02050448,False
02050461,False
02050462,False
02050464,False
02050472,False
02050481,False
02050492,False
02050495,False
02050505,False
02050508,False
02050509,False
02050511,False
02050512,False
02050541,False
02050544,False
02050545,False
02050546,False
02050551,False
02050555,True
02050559,False
02050562,False
02050565,False
02050568,False
02050579,False
02050580,False
02050591,False
02050593,False
02050594,False
02050595,False
02050596,False
02050612,False
02050613,False
02050616,False
02050617,False
02050620,True
02050628,False
02050646,False
02050665,False
02050745,False
02050748,False
02050766,False
02050767,False
02050774,False
02050777,False
02050787,False
02050791,False
02050793,False
02050801,False
02050803,False
02050822,False
02050826,False
02050830,False
02050837,False
02050846,False
02050847,False
02050851,False
02050852,False
02050854,False
02050860,False
02050868,True
02050872,False
02050877,False
02050888,False
02050889,False
02050890,False
02050892,False
02050894,False
02050895,False
02050898,False
02050900,False
02050903,False
02050908,False
02050910,False
02050918,False
02050922,False
02050924,False
02050926,False
02050930,False
02050931,False
02050932,False
02050933,False
02050938,False
02050940,False
02050942,False
02050944,False
02050952,False
02050956,False
02050958,False
02050965,True
02050967,False
02050970,False
02050972,False
02050987,False
02051002,False
02051007,False
02051013,False
02051030,False
02051037,False
02051040,False
02051046,False
02051059,False
02051067,False
02051072,False
02051087,False
02051099,False
02051112,False
02051125,False
02051131,False
02051134,False
02051138,False
02051140,False
02051145,False
02051175,False
02051181,False
02051220,False
02051223,False
02051225,False
02051228,False
02051235,False
02051236,False
02051244,False
02051249,True
02051263,False
02051266,False
02051267,False
02051274,False
02051278,False
02051287,False
02051292,False
02051296,False
02051299,False
02051301,False
02051302,False
02051407,False
02051409,False
02051425,False
02051435,False
02051456,False
02051472,False
02051503,False
02051505,False
02051507,False
02051508,False
02051511,False
02051515,True
02051519,False
02051554,False
02051559,False
02051564,False
02051576,False
02051599,False
02051600,False
02051609,False
02051610,False
02051615,False
02051616,False
02051621,False
02051623,False
02051626,False
02051628,False
02051632,False
02051637,False
02051639,False
02051671,False
02051677,False
02051703,False
02051725,False
02051726,False
02051736,False
02051746,False
02051749,False
02051759,False
02051762,False
02051763,False
02051766,False
02051769,False
02051773,False
02051777,False
02051781,False
02051784,False
02051792,False
02051794,False
02051799,False
02051802,False
02051809,True
02051813,False
02051822,False
02051826,False
02051827,False
02051832,True
02051834,False
02051836,False
02051838,False
02051847,False
02051865,False
02051866,False
02051867,False
02051913,False
02051914,False
02051915,False
02051918,False
02051919,False
02051924,False
02051929,False
02051932,False
02051935,False
02051941,False
02051954,False
02051973,False
02051987,False
02051988,False
02052002,False
02052019,False
02052022,False
02052024,False
02052025,False
02052037,False
02052059,False
02052079,False
02052083,False
02052097,False
02052100,False
02052105,False
02052106,False
02052107,False
02052113,False
02052115,False
02052116,False
02052123,False
02052154,False
02052157,False
02052159,False
02052164,False
02052165,False
02052167,False
02052169,False
02052178,False
02052183,False
02052187,False
02052191,False
02052193,False
02052195,False
02052196,False
02052206,False
02052229,False
02052232,False
02052235,False
02052238,False
02052242,True
02052243,False
02052246,False
02052247,False
02052255,False
02052261,False
02052268,False
02052273,False
02052277,False
02052289,False
02052290,False
02052321,False
02052323,False
02052343,False
02052347,False
02052363,False
02052364,False
02052369,False
02052397,False
02052399,False
02052401,False
02052409,False
02052427,False
02052430,False
02052431,False
02052435,False
02052438,False
02052441,False
02052443,False
02052446,False
02052448,False
02052451,False
02052454,False
02052457,False
02052463,False
02052465,False
02052466,False
02052475,False
02052478,False
02052480,True
02052497,False
02052499,False
02052506,False
02052534,False
02052547,False
02052549,False
02052558,False
02052561,False
02052578,False
02052579,False
02052582,False
02052590,False
02052594,False
02052596,False
02052599,False
02052609,False
02052610,False
02052611,False
02052612,False
02052638,True
02052639,False
02052645,False
02052653,False
02052662,False
02052664,False
02052676,False
02052677,False
02052682,False
02052698,False
02052747,False
02052749,False
02052750,False
02052755,False
02052767,False
02052774,False
02052775,False
02052782,False
02052785,False
02052789,False
02052790,False
02052792,False
02052797,False
